spp,stockid,year,overfished,overfishing
merlangius merlangus,whitviia,2017,TRUE,TRUE
merlangius merlangus,whitviibce-k,2015,FALSE,FALSE
merlangius merlangus,whitviibce-k,2016,FALSE,FALSE
merlangius merlangus,whitviibce-k,2017,FALSE,TRUE
merluccius australis,southhakech,2015,TRUE,FALSE
merluccius australis,southhakech,2016,TRUE,TRUE
merluccius australis,southhakech,2017,TRUE,FALSE
merluccius bilinearis,shake4vwx,2015,FALSE,FALSE
merluccius capensis,chakesa,2015,FALSE,FALSE
merluccius hubbsi,arghakenarg,2015,TRUE,TRUE
merluccius hubbsi,arghakenarg,2016,TRUE,TRUE
merluccius hubbsi,arghakenarg,2017,TRUE,TRUE
merluccius hubbsi,arghakesarg,2015,TRUE,TRUE
merluccius hubbsi,arghakesarg,2016,TRUE,TRUE
merluccius hubbsi,arghakesarg,2017,TRUE,TRUE
merluccius merluccius,hakenrtn,2015,FALSE,FALSE
merluccius merluccius,hakenrtn,2016,FALSE,FALSE
merluccius merluccius,hakenrtn,2017,FALSE,FALSE
merluccius merluccius,hakesoth,2015,FALSE,TRUE
merluccius merluccius,hakesoth,2016,FALSE,TRUE
merluccius merluccius,hakesoth,2017,FALSE,TRUE
merluccius paradoxus,deepchakesa,2015,TRUE,TRUE
merluccius productus,phakepcoast,2015,FALSE,FALSE
merluccius productus,phakepcoast,2016,FALSE,FALSE
merluccius productus,phakepcoast,2017,FALSE,TRUE
micromesistius australis,sbwhitargs,2015,TRUE,FALSE
micromesistius australis,sbwhitargs,2016,TRUE,FALSE
micromesistius australis,sbwhitargs,2017,TRUE,FALSE
micromesistius australis,sbwhitch,2015,TRUE,TRUE
micromesistius australis,sbwhitch,2016,TRUE,TRUE
micromesistius australis,sbwhitch,2017,TRUE,TRUE
micromesistius poutassou,bwhitnea,2015,FALSE,TRUE
micromesistius poutassou,bwhitnea,2016,FALSE,TRUE
micromesistius poutassou,bwhitnea,2017,FALSE,TRUE
microstomus pacificus,dsolega,2015,FALSE,NA
microstomus pacificus,dsolega,2016,FALSE,NA
molva dypterygia,blingvb-vi-vii,2015,FALSE,FALSE
molva dypterygia,blingvb-vi-vii,2016,FALSE,FALSE
molva dypterygia,blingvb-vi-vii,2017,FALSE,FALSE
molva molva,lingva,2015,FALSE,TRUE
molva molva,lingva,2016,FALSE,TRUE
molva molva,lingva,2017,FALSE,TRUE
nemadactylus macropterus,morwongese,2015,TRUE,TRUE
nemadactylus macropterus,morwongese,2016,TRUE,TRUE
nemadactylus macropterus,morwongese,2017,FALSE,TRUE
nemadactylus macropterus,morwongwse,2015,FALSE,FALSE
nemadactylus macropterus,morwongwse,2016,FALSE,FALSE
nemadactylus macropterus,morwongwse,2017,FALSE,FALSE
nephrops norvegicus,nephfu14,2015,FALSE,FALSE
nephrops norvegicus,nephfu17,2015,FALSE,FALSE
nephrops norvegicus,nephfu17,2016,TRUE,TRUE
nephrops norvegicus,nephfu7,2015,TRUE,FALSE
nephrops norvegicus,nephfu7,2016,FALSE,FALSE
nephrops norvegicus,nephfu7,2017,FALSE,FALSE
nephrops norvegicus,nephmedgsa17-18,2015,TRUE,TRUE
ophiodon elongatus,lingcodnpcoast,2015,FALSE,FALSE
ophiodon elongatus,lingcodnpcoast,2016,FALSE,FALSE
ophiodon elongatus,lingcodnpcoast,2017,FALSE,NA
ophiodon elongatus,lingcodspcoast,2015,TRUE,FALSE
ophiodon elongatus,lingcodspcoast,2016,TRUE,FALSE
ophiodon elongatus,lingcodspcoast,2017,TRUE,NA
pandalus borealis,pandali-ii,2015,FALSE,FALSE
pandalus borealis,pandali-ii,2016,FALSE,FALSE
pandalus borealis,pandali-ii,2017,FALSE,FALSE
pandalus borealis,pandaliiiaw-ivae,2015,FALSE,FALSE
pandalus borealis,pandaliiiaw-ivae,2016,FALSE,TRUE
pandalus borealis,pandaliiiaw-ivae,2017,TRUE,TRUE
paralichthys dentatus,sflounmatlc,2015,TRUE,TRUE
paralithodes camtschaticus,rkcrabbb,2015,FALSE,NA
paralithodes camtschaticus,rkcrabbb,2016,FALSE,NA
paralithodes camtschaticus,rkcrabbb,2017,TRUE,NA
penaeus esculentus,btshrimpnaust,2015,FALSE,FALSE
penaeus semisulcatus,gtprawnnaust,2015,FALSE,TRUE
placopecten magellanicus,scall5zmab,2015,FALSE,FALSE
placopecten magellanicus,scall5zmab,2016,FALSE,FALSE
placopecten magellanicus,scall5zmab,2017,FALSE,FALSE
platycephalus conatus,deepflatheadse,2015,FALSE,FALSE
pleurogrammus monopterygius,atkabsai,2015,FALSE,NA
pleurogrammus monopterygius,atkabsai,2016,FALSE,NA
pleurogrammus monopterygius,atkabsai,2017,FALSE,NA
pleuroncodes monodon,rsqlobstercsch,2015,TRUE,FALSE
pleuroncodes monodon,rsqlobsternch,2015,FALSE,FALSE
pleuronectes platessa,plaic2123,2015,FALSE,FALSE
pleuronectes platessa,plaic2123,2016,FALSE,FALSE
pleuronectes platessa,plaic2123,2017,FALSE,FALSE
pleuronectes platessa,plaic7d,2015,FALSE,FALSE
pleuronectes platessa,plaic7d,2016,FALSE,FALSE
pleuronectes platessa,plaic7d,2017,FALSE,FALSE
pleuronectes platessa,plaiccelt,2015,FALSE,FALSE
pleuronectes platessa,plaiccelt,2016,FALSE,FALSE
pleuronectes platessa,plaiccelt,2017,FALSE,FALSE
pleuronectes platessa,plaicis,2015,FALSE,FALSE
pleuronectes platessa,plaicis,2016,FALSE,FALSE
pleuronectes platessa,plaicis,2017,FALSE,FALSE
pleuronectes platessa,plaicns,2015,FALSE,FALSE
pleuronectes platessa,plaicns,2016,FALSE,FALSE
pleuronectes platessa,plaicns,2017,FALSE,FALSE
pleuronectes quadrituberculatus,alplaicbsai,2015,FALSE,NA
pleuronectes quadrituberculatus,alplaicbsai,2016,FALSE,NA
pollachius virens,poll5yz,2015,FALSE,FALSE
pollachius virens,poll5yz,2016,FALSE,FALSE
pollachius virens,pollfapl,2015,FALSE,TRUE
pollachius virens,pollfapl,2016,FALSE,TRUE
pollachius virens,pollfapl,2017,FALSE,TRUE
pollachius virens,pollieg,2015,FALSE,FALSE
pollachius virens,pollieg,2016,FALSE,FALSE
pollachius virens,pollieg,2017,FALSE,FALSE
pollachius virens,pollnear,2015,FALSE,FALSE
pollachius virens,pollnear,2016,FALSE,FALSE
