project,country,site,latitude,longitude,sample_date,biomass_kgha_avg
Tanzania CRCP surveys,Tanzania,Makome,-5.27985,39.11589,2010-11-06,317.02
Tanzania CRCP surveys,Tanzania,Makome,-5.27985,39.11589,2015-09-13,141.46
Tanzania CRCP surveys,Tanzania,Makome,-5.27985,39.11589,2016-10-03,115.41
Tanzania CRCP surveys,Tanzania,Makome Temp,-5.2811,39.11554,2015-09-12,169.46
Tanzania CRCP surveys,Tanzania,Makome Temp,-5.2811,39.11554,2016-10-03,195.38
Tanzania CRCP surveys,Tanzania,Mange 1,-8.07807,39.59907,2007-04-22,307.15
Tanzania CRCP surveys,Tanzania,Mange 2,-8.07807,39.59907,2007-04-23,381.45
Tanzania CRCP surveys,Tanzania,Manta,-4.8857,39.67535,2013-10-07,209.96
Tanzania CRCP surveys,Tanzania,Matemwe Coral Garden1,-5.83671,39.40513,2017-11-08,412.04
Tanzania CRCP surveys,Tanzania,Matemwe Coral Garden2,-5.83355,39.40875,2017-11-10,1314.02
Tanzania CRCP surveys,Tanzania,Maziwe Edge,-5.49507,39.07372,2015-09-19,469.02
Tanzania CRCP surveys,Tanzania,Maziwe North,-5.49793,39.06555,2010-11-10,450.34
Tanzania CRCP surveys,Tanzania,Maziwe North,-5.49793,39.06555,2015-09-16,284.05
Tanzania CRCP surveys,Tanzania,Maziwe North,-5.49793,39.06555,2016-10-05,349.78
Tanzania CRCP surveys,Tanzania,Maziwe South,-5.508,39.06251,2010-11-10,476.25
Tanzania CRCP surveys,Tanzania,Maziwe South,-5.508,39.06251,2015-09-16,257.35
Tanzania CRCP surveys,Tanzania,Maziwe South,-5.508,39.06251,2016-10-05,333.18
Tanzania CRCP surveys,Tanzania,Mbudya 1,-6.65323,39.24397,1996-02-13,108.6
Tanzania CRCP surveys,Tanzania,Mbudya 1,-6.65323,39.24397,2005-04-01,284.82
Tanzania CRCP surveys,Tanzania,Mbudya 1,-6.65323,39.24397,2012-09-16,202.85
Tanzania CRCP surveys,Tanzania,Mbudya 1,-6.65323,39.24397,2016-11-05,124.47
Tanzania CRCP surveys,Tanzania,Mbudya 2,-6.66104,39.2485,1996-02-13,109.23
Tanzania CRCP surveys,Tanzania,Mbudya 2,-6.66104,39.2485,2005-04-01,138.04
Tanzania CRCP surveys,Tanzania,Mbudya 2,-6.66104,39.2485,2012-09-16,111.88
Tanzania CRCP surveys,Tanzania,Mbudya 2,-6.66104,39.2485,2016-11-05,91.84
Tanzania CRCP surveys,Tanzania,Mgandi,-4.825184969,39.22256403,2018-10-15,323.01
Tanzania CRCP surveys,Tanzania,Misali Christmas tree,-5.2438,39.59285,2018-10-09,531.71
Tanzania CRCP surveys,Tanzania,Misali Coral garden,-5.2464,39.59005,2018-10-12,860.64
Tanzania CRCP surveys,Tanzania,Mivinjeni,-10.28,40.4,2008-04-08,475.19
Tanzania CRCP surveys,Tanzania,Mkaya1,-8.73467,39.50657,2011-09-21,276.95
Tanzania CRCP surveys,Tanzania,Mkaya2,-8.73448,39.51722,2011-09-21,490.14
Tanzania CRCP surveys,Tanzania,Mmongo,-10.27,40.33,2008-04-06,822.93
Tanzania CRCP surveys,Tanzania,MnaraniCorner,-4.8398,39.68116,2013-10-07,277.71
Tanzania CRCP surveys,Tanzania,Mnemba Coral garden,-5.8143,39.3847,2018-10-04,255.16
Tanzania CRCP surveys,Tanzania,Mnemba Coral gardens 2,-5.8171,39.3827,2018-10-05,550.88
Tanzania CRCP surveys,Tanzania,Mtaa,-4.87009,39.31181,2018-10-16,707.96
Tanzania CRCP surveys,Tanzania,Mwamba Nyama4,-5.01021,39.22058,2017-12-06,214.24
Tanzania CRCP surveys,Tanzania,Mwamba Nyama5,-5.03392,39.20842,2017-12-07,206.85
Tanzania CRCP surveys,Tanzania,Mwamba Nyama6,-5.0402,39.21925,2017-12-07,179.29
Tanzania CRCP surveys,Tanzania,Mwamba Nyama Patch1,-5.02282,39.214086,2017-12-05,151.27
Tanzania CRCP surveys,Tanzania,Mwamba Nyama Patch2,-5.02282,39.214086,2017-12-05,258.71
Tanzania CRCP surveys,Tanzania,Mwamba Nyama South,-5.03502,39.20721,2017-12-04,293.4
Tanzania CRCP surveys,Tanzania,Mwamba wa kati,-8.63447,39.51503,2011-09-22,471.21
Tanzania CRCP surveys,Tanzania,Namponda,-10.28,40.38,2008-04-07,375.41
Tanzania CRCP surveys,Tanzania,Ngoa,-4.9646,39.6628,2013-10-04,506.07
Tanzania CRCP surveys,Tanzania,North reef,-5.77961,39.39855,2018-10-03,131.29
