project,country,site,latitude,longitude,sample_date,hard_coral_pit,soft_coral_pit
2018_Vatu-i-Ra reef surveys,Fiji,VIR1,-17.2792,178.47929999999997,2018-06-07,37.17,12.67
2018_Vatu-i-Ra reef surveys,Fiji,VIR10,-17.4785,178.4892,2018-06-05,3.33,1.83
2018_Vatu-i-Ra reef surveys,Fiji,VIR11,-17.3589,178.4398,2018-06-05,7.5,3.83
2018_Vatu-i-Ra reef surveys,Fiji,VIR2,-17.2764,178.4637,2018-06-08,39,14.67
2018_Vatu-i-Ra reef surveys,Fiji,VIR3,-17.2878,178.4553,2018-06-07,37.5,11.67
2018_Vatu-i-Ra reef surveys,Fiji,VIR5,-17.3133,178.4642,2018-06-07,14.17,5.83
2018_Vatu-i-Ra reef surveys,Fiji,VIR6,-17.4611,178.4942,2018-06-05,9.83,2.33
2018_Vatu-i-Ra reef surveys,Fiji,VIR7,-17.4466,178.4983,2018-06-06,6.67,1.33
2018_Vatu-i-Ra reef surveys,Fiji,VIR8,-17.4249,178.4863,2018-06-06,15.17,2.17
2018_Vatu-i-Ra reef surveys,Fiji,VIR9,-17.3871,178.4646,2018-06-06,12.5,1.17
Panjang MPA_2019,Indonesia,Kampung Jawa,-8.53256,116.85690999999996,2019-05-02,38,0.5
Panjang MPA_2019,Indonesia,Leko Kerbau,-8.42635,116.9253,2019-04-27,46.2,2
Panjang MPA_2019,Indonesia,Leko Kerbau,-8.42635,116.9253,2019-05-27,10,8
Panjang MPA_2019,Indonesia,Lepe Putung 1,-8.43566,116.95969,2019-04-27,26,27.17
Panjang MPA_2019,Indonesia,Saringgi Barat,-8.41931,116.98032,2019-04-29,35.33,0
Panjang MPA_2019,Indonesia,Saringgit Timur,-8.39577,117.04611,2019-05-01,59,0
Panjang MPA_2019,Indonesia,Tanjung Pasir 1,-8.4505,116.83913000000008,2019-04-28,35,17
Panjang MPA_2019,Indonesia,Teluk Boko,-8.43105,116.88103,2019-05-01,8,3.67
Panjang MPA_2019,Indonesia,Teluk Saringit Utara,-8.40667,117.01438000000007,2019-04-29,25,0
Panjang MPA_2019,Indonesia,Teluk Saringit Utara,-8.40667,117.01438000000007,2019-05-29,12,0
Panjang MPA_2019,Indonesia,Teluk Soga,-8.52202,116.91280000000006,2019-05-02,48.67,0.67
Panjang MPA_2019,Indonesia,Teluk Tobo,-8.4221,117.01958,2019-05-01,38.33,0
Nantha Kyun,Myanmar,Nantha Kyun KNT03,18.054245954735237,94.07989802946751,2021-01-18,15.59,0
Nantha Kyun,Myanmar,Nantha Kyun  KNT04,18.063371241821116,94.07769728661816,2021-01-18,12.38,0
Nantha Kyun,Myanmar,Nantha Kyun KNT05,18.06996843267254,94.0800261991812,2021-01-19,4.95,0
Nantha Kyun,Myanmar,Nantha Kyun KNT06,18.075329189598506,94.08441120450787,2021-01-19,11.39,0.25
Nantha Kyun,Myanmar,Nantha Kyun KNT07,18.074754682075692,94.1044260744324,2021-01-20,1.49,0
Nantha Kyun,Myanmar,Nantha Kyun KNT08,18.067516968052143,94.10039520913308,2021-01-20,63.62,0
Nantha Kyun,Myanmar,Nantha Kyun KNT09,18.05673370482394,94.09710786665352,2021-01-21,10.4,0
Nantha Kyun,Myanmar,Nantha Kyun KNT1,18.0506103942991,94.08499789700517,2021-01-17,8.91,0
Nantha Kyun,Myanmar,Nantha Kyun KNT1,18.0506103942991,94.08499789700517,2021-04-17,12.87,0
Nantha Kyun,Myanmar,Nantha Kyun KNT10,18.062633443345945,94.09980945385576,2021-01-21,5.2,0
Nantha Kyun,Myanmar,Nantha Kyun NTK02,18.04917585473585,94.09058445779186,2021-01-17,11.63,0.25
Nantha Kyun,Myanmar,Nantha Kyun NTK02,18.04917585473585,94.09058445779186,2021-04-17,2.97,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Anoi Hitam,5.825738056,95.37825389,2019-07-18,35.83,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Ba Kopra,5.866863889,95.22823111,2019-07-14,37.17,0.17
ACEH (Aceh Besar & Weh) 2019,Indonesia,Barat Selako,5.896555556,95.25241667,2019-07-15,49.33,0.83
ACEH (Aceh Besar & Weh) 2019,Indonesia,Batee Meurenon,5.873513056,95.26466306,2019-07-13,46.17,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Battee,5.58223333333333,95.2078719444444,2019-07-04,68.67,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Benteng,5.845705,95.373215,2019-07-18,39,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Beurawang,5.777511111,95.33685194,2019-07-20,20.33,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Canyon,5.89829,95.21692306,2019-07-15,39.67,0.5
ACEH (Aceh Besar & Weh) 2019,Indonesia,Deudap,5.607141944,95.19258111,2019-07-07,29.5,0.17
ACEH (Aceh Besar & Weh) 2019,Indonesia,Deudap 2,5.60436111111111,95.1721388888889,2019-07-11,74.33,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Inti Arun,5.831388333,95.3783025,2019-07-18,39.33,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Inti Pulau Bunta,5.558743056,95.163395,2019-07-04,63.83,0.17
ACEH (Aceh Besar & Weh) 2019,Indonesia,Jaboi,5.799778889,95.34604611,2019-07-20,47.33,0.33
ACEH (Aceh Besar & Weh) 2019,Indonesia,Kontrol Kota Atas,5.898000278,95.31451444,2019-07-16,40.5,0.33
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lapeng,5.698566944,95.11094194,2019-07-07,40.83,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Leun Balee 1,5.7276,95.07301111,2019-07-08,55.83,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Leun Balee 2,5.742093889,95.06680306,2019-07-08,35,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lhok Weng,5.863641111,95.26643611,2019-07-15,23.67,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lhong Angin 1,5.832608056,95.25836611,2019-07-14,57.33,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Lhong Angin 2,5.821983889,95.25977111,2019-07-14,36.17,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Paloh,5.664196111,95.09257694,2019-07-10,36.17,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pasi Janeng,5.600628056,95.124595,2019-07-05,55.83,0.5
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pemanfaatan Anoi Itam,5.842690278,95.37351944,2019-07-17,65.33,0
ACEH (Aceh Besar & Weh) 2019,Indonesia,Pemanfaatan Ie Meule,5.902357222,95.32695222,2019-07-16,48,0.17
