worms_sciname,am_sciname,am_sid,iucn_sid
uhlorchestia uhleri,uhlorchestia uhleri,W-Amp-421548,NA
urothoe poseidonis,urothoe poseidonis,W-Amp-103235,NA
vibilia australis,vibilia australis,W-Amp-325409,NA
vibilia chuni,vibilia chuni,W-Amp-421602,NA
vibilia gibbosa,vibilia gibbosa,W-Amp-416583,NA
vibilia propinqua,vibilia propinqua,W-Amp-103291,NA
vibilia stebbingi,vibilia stebbingi,W-Amp-236633,NA
vibilia viatrix,vibilia viatrix,W-Amp-236634,NA
cyclaspis bacescui,cyclaspis bacescui,W-Cum-181661,NA
cyclaspis pustulata,cyclaspis pustulata,W-Cum-181732,NA
cyclaspis varians,cyclaspis varians,W-Cum-157810,NA
iphinoe trispinosa,iphinoe trispinosa,W-Cum-110462,NA
leuconia nivea,leuconia nivea,W-Por-132201,NA
leucandra pumila,leuconia pumila,SLB-85720,NA
clathrina clathrus,clathrina clathrus,W-Por-132275,NA
clathrina coriacea,clathrina coriacea,W-Por-132277,NA
leucaltis clathria,leucaltis clathria,W-Por-132290,NA
vaunthompsonia minor,vaunthompsonia minor,W-Cum-181894,NA
leucetta floridana,leucetta floridana,W-Por-174278,NA
leucandra losangelensis,leucetta losangelensis,SLB-85772,NA
pericharax heteroraphis,pericharax heteroraphis,W-Por-164768,NA
brachydiastylis resima,brachydiastylis resima,W-Cum-110470,NA
leucilla nuttingi,leucilla nuttingi,W-Por-164219,NA
aphroceras ensata,aphroceras ensata,W-Por-132172,NA
leucandra heathi,leucandra heathi,W-Por-164324,NA
diastylis lepechini,diastylis lepechini,W-Cum-110482,NA
diastylis lucifera,diastylis lucifera,W-Cum-110483,NA
anamixilla torresi,anamixilla torresi,W-Por-164480,NA
agelas dispar,agelas dispar,W-Por-164827,NA
diastylis scorpioides,diastylis scorpioides,W-Cum-110489,NA
asteropus simplex,asteropus simplex,W-Por-169793,NA
diastylis spinulosa,diastylis spinulosa,W-Cum-110490,NA
stelletta clarella,stelletta clarella,W-Por-169914,NA
stelletta grubii,stelletta grubii,W-Por-133974,NA
erylus formosus,erylus formosus,W-Por-170070,NA
geodia gibberosa,geodia gibberosa,W-Por-170126,NA
poecillastra compressa,poecillastra compressa,W-Por-134083,NA
thenea muricata,thenea muricata,W-Por-134106,NA
chondrilla nucula,chondrilla nucula,W-Por-134110,NA
chondrosia collectrix,chondrosia collectrix,W-Por-170373,NA
chondrosia reniformis,chondrosia reniformis,W-Por-134112,NA
chelonaplysilla erecta,chelonaplysilla erecta,W-Por-132300,NA
dendrilla rosea,dendrilla rosea,W-Por-164885,NA
igernella notabilis,igernella notabilis,W-Por-164900,NA
spongionella pulchella,spongionella pulchella,W-Por-132335,NA
dysidea fragilis,dysidea fragilis,W-Por-132324,NA
dysidea variabilis,dysidea variabilis,W-Por-164974,NA
