worms_sciname,am_sciname,am_sid,iucn_sid
nemadactylus bergi,nemadactylus bergi,Fis-137737,NA
cheilodactylus variegatus,cheilodactylus variegatus,Fis-46963,NA
arctoscopus japonicus,arctoscopus japonicus,Fis-23014,NA
parapercis colias,parapercis colias,Fis-23211,154870
percophis brasiliensis,percophis brasiliensis,Fis-21466,NA
eleginops maclovinus,eleginops maclovinus,Fis-23115,NA
dissostichus eleginoides,dissostichus eleginoides,Fis-29365,NA
notothenia rossii,notothenia rossii,Fis-29456,NA
pleuragramma antarctica,pleuragramma antarctica,Fis-164093,154785
chaenocephalus aceratus,chaenocephalus aceratus,Fis-23090,NA
champsocephalus gunnari,champsocephalus gunnari,Fis-29335,NA
pseudochaenichthys georgianus,pseudochaenichthys georgianus,Fis-29489,NA
chionodraco rastrospinosus,chionodraco rastrospinosus,Fis-29337,NA
channichthys rhinoceratus,channichthys rhinoceratus,Fis-29336,NA
chaenodraco wilsoni,chaenodraco wilsoni,Fis-29334,NA
zoarces viviparus,zoarces viviparus,Fis-23316,NA
zoarces americanus,zoarces americanus,Fis-62945,NA
trisopterus minutus,trisopterus minutus,Fis-23313,NA
genypterus blacodes,genypterus blacodes,Fis-23136,NA
genypterus maculatus,genypterus maculatus,Fis-46972,NA
genypterus capensis,genypterus capensis,Fis-23137,NA
brotula barbata,brotula barbata,Fis-23041,16427324
ammodytes personatus,ammodytes personatus,Fis-29268,NA
hypoptychus dybowskii,hypoptychus dybowskii,Fis-29420,65134839
thyrsites atun,thyrsites atun,Fis-23309,NA
thyrsitops lepidopoides,thyrsitops lepidopoides,Fis-23310,NA
pampus argenteus,pampus argenteus,Fis-23209,NA
peprilus simillimus,peprilus simillimus,Fis-23215,183337
hyperoglyphe antarctica,hyperoglyphe antarctica,Fis-23160,NA
psenopsis anomala,psenopsis anomala,Fis-23224,155177
sebastes norvegicus,sebastes norvegicus,Fis-149739,NA
sebastes entomelas,sebastes entomelas,Fis-23264,NA
sebastes flavidus,sebastes flavidus,Fis-23265,NA
sebastes alutus,sebastes alutus,Fis-23262,NA
sebastes mentella,sebastes mentella,Fis-29522,154816
sebastes capensis,sebastes capensis,Fis-23263,114178726
chelidonichthys kumu,chelidonichthys kumu,Fis-23092,154895
pterygotrigla polyommata,pterygotrigla polyommata,Fis-23236,NA
ophiodon elongatus,ophiodon elongatus,Fis-29457,NA
pleurogrammus azonus,pleurogrammus azonus,Fis-29480,NA
anoplopoma fimbria,anoplopoma fimbria,Fis-22996,NA
psettodes erumei,psettodes erumei,Fis-23225,166996
hippoglossus stenolepis,hippoglossus stenolepis,Fis-29418,158625941
reinhardtius hippoglossoides,reinhardtius hippoglossoides,Fis-23237,NA
atheresthes stomias,atheresthes stomias,Fis-23030,158624714
atheresthes evermanni,atheresthes evermanni,Fis-29299,158624557
hippoglossoides elassodon,hippoglossoides elassodon,Fis-29417,158625653
limanda aspera,limanda aspera,Fis-11256,158631834
limanda ferruginea,limanda ferruginea,Fis-16989,NA
paraplagusia bilineata,paraplagusia bilineata,Fis-26638,123498959
pseudopleuronectes americanus,pseudopleuronectes americanus,Fis-12375,NA
solea solea,solea solea,Fis-23272,198739
dicologlossa cuneata,dicologlossa cuneata,Fis-8265,155215
austroglossus microlepis,austroglossus microlepis,Fis-23034,155236
austroglossus pectoralis,austroglossus pectoralis,Fis-23035,15622620
scophthalmus rhombus,scophthalmus rhombus,Fis-23250,198732
scophthalmus aquosus,scophthalmus aquosus,Fis-23249,190417
stephanolepis cirrhifer,stephanolepis cirrhifer,Fis-23284,79803245
lophius americanus,lophius americanus,Fis-29432,NA
anchoa parva,anchoa parva,Fis-22987,190104
anchoa spinifer,anchoa spinifer,Fis-22989,16406554
anchoa starksi,anchoa starksi,Fis-22990,184000
anchoa tricolor,anchoa tricolor,Fis-22992,98891120
anchoa walkeri,anchoa walkeri,Fis-29272,155020
anchovia clupeoides,anchovia clupeoides,Fis-22994,16406679
anchovia macrolepidota,anchovia macrolepidota,Fis-22995,183917
anchoa mitchilli,anchoa mitchilli,Fis-22983,190222
cetengraulis edentulus,cetengraulis edentulus,Fis-23088,190383
cetengraulis mysticetus,cetengraulis mysticetus,Fis-23089,183878
lycengraulis grossidens,lycengraulis grossidens,Fis-23180,186512
lycengraulis poeyi,lycengraulis poeyi,Fis-23181,183379
encrasicholina devisi,encrasicholina devisi,Fis-23116,NA
encrasicholina heteroloba,encrasicholina heteroloba,Fis-23117,75155263
encrasicholina heteroloba,encrasicholina heteroloba,Fis-23117,103422139
encrasicholina punctifer,encrasicholina punctifer,Fis-29371,75155303
stolephorus andhraensis,stolephorus andhraensis,Fis-29550,99000824
stolephorus baganensis,stolephorus baganensis,Fis-29551,170730685
stolephorus baganensis,stolephorus baganensis,Fis-29551,170765178
stolephorus carpentariae,stolephorus carpentariae,Fis-22421,99004333
stolephorus chinensis,stolephorus chinensis,Fis-23286,99004812
stolephorus commersonnii,stolephorus commersonnii,Fis-62520,75155918
stolephorus dubiosus,stolephorus dubiosus,Fis-29553,99005308
stolephorus holodon,stolephorus holodon,Fis-23287,99006153
stolephorus indicus,stolephorus indicus,Fis-23288,196318
stolephorus insularis,stolephorus insularis,Fis-29554,170730674
labrus bergylta,labrus bergylta,Fis-29425,187398
stolephorus tri,stolephorus tri,Fis-23289,171339305
stolephorus waitei,stolephorus waitei,Fis-29559,170730663
stolephorus waitei,stolephorus waitei,Fis-29559,170766737
thryssa aestuaria,thryssa aestuaria,Fis-23295,99079806
thryssa baelama,thryssa baelama,Fis-23296,196319
thryssa dussumieri,thryssa dussumieri,Fis-23298,75156420
thryssa encrasicholoides,thryssa encrasicholoides,Fis-23299,99084894
thryssa hamiltonii,thryssa hamiltonii,Fis-23300,166863
thryssa malabarica,thryssa malabarica,Fis-23302,99085827
thryssa mystax,thryssa mystax,Fis-23303,155240
thryssa purava,thryssa purava,Fis-23304,99086293
thryssa setirostris,thryssa setirostris,Fis-23306,99086912
thryssa vitrirostris,thryssa vitrirostris,Fis-23308,171339401
setipinna melanochir,setipinna melanochir,Fis-23268,91351231
setipinna taty,setipinna taty,Fis-23270,98990439
setipinna tenuifilis,setipinna tenuifilis,Fis-23271,98991365
lampanyctus alatus,lampanyctus alatus,Fis-29427,15599060
lampanyctus crocodilus,lampanyctus crocodilus,Fis-23165,198618
lampanyctus crocodilus,lampanyctus crocodilus,Fis-23165,129389241
lepidophanes gaussi,lepidophanes gaussi,Fis-23166,15599123
ceratoscopelus maderensis,ceratoscopelus maderensis,Fis-23087,198612
lampanyctus pusillus,lampanyctus pusillus,Fis-23167,198619
coilia dussumieri,coilia dussumieri,Fis-29348,91350886
coilia grayii,coilia grayii,Fis-29349,166216
coilia nasus,coilia nasus,Fis-29352,98895427
coilia neglecta,coilia neglecta,Fis-29353,154743
chlamydoselachus anguineus,chlamydoselachus anguineus,Fis-29338,41794
heptranchias perlo,heptranchias perlo,Fis-23149,41823
hexanchus griseus,hexanchus griseus,Fis-23157,10030
hexanchus nakamurai,hexanchus nakamurai,Fis-29416,152781341
lepadogaster candolii,lepadogaster candolii,Fis-121460,NA
echinorhinus brucus,echinorhinus brucus,Fis-23113,41801
echinorhinus cookei,echinorhinus cookei,Fis-29367,41802
lepadogaster lepadogaster,lepadogaster lepadogaster,Fis-23171,194812
aculeola nigra,aculeola nigra,Fis-29262,44653
lepidopus caudatus,lepidopus caudatus,Fis-23173,198721
aphanopus carbo,aphanopus carbo,Fis-29275,18179793
centrophorus granulosus,centrophorus granulosus,Fis-23075,60216
centrophorus granulosus,centrophorus granulosus,Fis-23075,162293947
centrophorus harrissoni,centrophorus harrissoni,Fis-29319,41740
centrophorus lusitanicus,centrophorus lusitanicus,Fis-29320,NA
centrophorus moluccensis,centrophorus moluccensis,Fis-29321,42838
centrophorus moluccensis,centrophorus moluccensis,Fis-29321,165299
centrophorus moluccensis,centrophorus moluccensis,Fis-29321,16727327
centrophorus moluccensis,centrophorus moluccensis,Fis-29321,16727330
centrophorus squamosus,centrophorus squamosus,Fis-23076,41871
centrophorus uyato,centrophorus uyato,Fis-23077,41745
centrophorus uyato,centrophorus uyato,Fis-23077,42831
centroscyllium fabricii,centroscyllium fabricii,Fis-23078,161521
centroscyllium kamoharai,centroscyllium kamoharai,Fis-29325,41746
centroscyllium nigrum,centroscyllium nigrum,Fis-29326,44514
centroscymnus coelolepis,centroscymnus coelolepis,Fis-29328,41747
centroscymnus crepidater,centroscymnus crepidater,Fis-23074,46864
centroscymnus owstonii,centroscymnus owstonii,Fis-61506,41749
centroscymnus plunketi,centroscymnus plunketi,Fis-23080,46865
cirrhigaleus barbifer,cirrhigaleus barbifer,Fis-29340,41795
dalatias licha,dalatias licha,Fis-23101,6229
deania calcea,deania calcea,Fis-23103,41798
deania hystricosa,deania hystricosa,Fis-29362,NA
deania profundorum,deania profundorum,Fis-23104,161551
deania quadrispinosa,deania quadrispinosa,Fis-23105,161635
etmopterus brachyurus,etmopterus brachyurus,Fis-29377,161649
etmopterus bullisi,etmopterus bullisi,Fis-29378,60237
etmopterus gracilispinis,etmopterus gracilispinis,Fis-29380,63108
etmopterus granulosus,etmopterus granulosus,Fis-23121,116856245
etmopterus hillianus,etmopterus hillianus,Fis-23122,60239
etmopterus lucifer,etmopterus lucifer,Fis-29381,161517
etmopterus polli,etmopterus polli,Fis-29382,60241
etmopterus princeps,etmopterus princeps,Fis-29383,60242
etmopterus pusillus,etmopterus pusillus,Fis-23123,161443
etmopterus schultzi,etmopterus schultzi,Fis-29384,60246
etmopterus sentosus,etmopterus sentosus,Fis-29385,60244
etmopterus spinax,etmopterus spinax,Fis-23124,161388
etmopterus virens,etmopterus virens,Fis-29387,60245
lichia amia,lichia amia,Fis-23174,198642
euprotomicrus bispinatus,euprotomicrus bispinatus,Fis-23127,60210
limanda limanda,limanda limanda,Fis-12972,18214863
isistius brasiliensis,isistius brasiliensis,Fis-23161,41830
isistius plutodus,isistius plutodus,Fis-29421,60212
scymnodon ringens,scymnodon ringens,Fis-29521,161717
zameus squamulosus,zameus squamulosus,Fis-61628,60215
somniosus rostratus,somniosus rostratus,Fis-23260,161432
squaliolus laticaudus,squaliolus laticaudus,Fis-29531,60214
lithognathus mormyrus,lithognathus mormyrus,Fis-23177,170160
cirrhigaleus asper,cirrhigaleus asper,Fis-23278,60209
squalus blainville,squalus blainville,Fis-51856,169229923
squalus cubensis,squalus cubensis,Fis-29533,61416
squalus japonicus,squalus japonicus,Fis-29534,161433
squalus megalops,squalus megalops,Fis-23280,124488765
squalus megalops,squalus megalops,Fis-23280,124553086
squalus mitsukurii,squalus mitsukurii,Fis-29536,152781967
oxynotus bruniensis,oxynotus bruniensis,Fis-23204,41840
lophius piscatorius,lophius piscatorius,Fis-29433,198610
oxynotus centrina,oxynotus centrina,Fis-23205,63141
pliotrema warreni,pliotrema warreni,Fis-29481,171728748
pristiophorus cirratus,pristiophorus cirratus,Fis-23223,39327
pristiophorus japonicus,pristiophorus japonicus,Fis-29484,161634
pristiophorus nudipinnis,pristiophorus nudipinnis,Fis-29485,41846
squatina aculeata,squatina aculeata,Fis-29538,61417
squatina africana,squatina africana,Fis-29539,44996
squatina argentina,squatina argentina,Fis-23281,39329
squatina australis,squatina australis,Fis-29540,41862
squatina californica,squatina californica,Fis-29541,39328
squatina japonica,squatina japonica,Fis-29544,161558
squatina nebulosa,squatina nebulosa,Fis-29545,161325
squatina oculata,squatina oculata,Fis-29546,61418
squatina squatina,squatina squatina,Fis-23282,39332
squatina tergocellata,squatina tergocellata,Fis-29547,41863
heterodontus francisci,heterodontus francisci,Fis-23150,39333
heterodontus galeatus,heterodontus galeatus,Fis-23151,41824
heterodontus japonicus,heterodontus japonicus,Fis-23152,161714
heterodontus mexicanus,heterodontus mexicanus,Fis-29414,60235
heterodontus portusjacksoni,heterodontus portusjacksoni,Fis-23153,39334
heterodontus ramalheira,heterodontus ramalheira,Fis-23155,44614
heterodontus zebra,heterodontus zebra,Fis-23156,41825
carcharias taurus,carcharias taurus,Fis-29388,3854
carcharias taurus,carcharias taurus,Fis-29388,44070
carcharias taurus,carcharias taurus,Fis-29388,44071
carcharias taurus,carcharias taurus,Fis-29388,63163
odontaspis ferox,odontaspis ferox,Fis-23198,41876
odontaspis noronhai,odontaspis noronhai,Fis-23199,39336
carcharodon carcharias,carcharodon carcharias,Fis-23071,3855
isurus oxyrinchus,isurus oxyrinchus,Fis-58485,39341
isurus oxyrinchus,isurus oxyrinchus,Fis-58485,161749
isurus oxyrinchus,isurus oxyrinchus,Fis-58485,161750
isurus oxyrinchus,isurus oxyrinchus,Fis-58485,161751
isurus paucus,isurus paucus,Fis-29423,60225
maurolicus muelleri,maurolicus muelleri,Fis-23185,198760
lamna ditropis,lamna ditropis,Fis-29426,39342
eucrossorhinus dasypogon,eucrossorhinus dasypogon,Fis-23126,41873
orectolobus japonicus,orectolobus japonicus,Fis-29458,161563
orectolobus maculatus,orectolobus maculatus,Fis-23201,41837
orectolobus ornatus,orectolobus ornatus,Fis-23202,41838
orectolobus wardi,orectolobus wardi,Fis-29459,41839
sutorectus tentaculatus,sutorectus tentaculatus,Fis-23292,41864
apristurus brunneus,apristurus brunneus,Fis-22998,44209
apristurus kampae,apristurus kampae,Fis-29281,44215
apristurus laurussonii,apristurus laurussonii,Fis-23002,44216
apristurus longicephalus,apristurus longicephalus,Fis-29282,44217
apristurus macrorhynchus,apristurus macrorhynchus,Fis-23003,44218
apristurus manis,apristurus manis,Fis-23004,44599
apristurus microps,apristurus microps,Fis-23005,44657
apristurus parvipinnis,apristurus parvipinnis,Fis-29285,44221
apristurus platyrhynchus,apristurus platyrhynchus,Fis-23006,44223
apristurus riveri,apristurus riveri,Fis-29286,44639
apristurus saldanha,apristurus saldanha,Fis-23008,44602
mugil cephalus,mugil cephalus,Fis-29454,135567
asymbolus analis,asymbolus analis,Fis-23028,41720
asymbolus vincenti,asymbolus vincenti,Fis-23029,41727
mullus barbatus barbatus,mullus barbatus barbatus,Fis-153573,NA
atelomycterus macleayi,atelomycterus macleayi,Fis-29298,41729
lutjanus ehrenbergii,lutjanus ehrenbergii,Fis-23178,194407
cephaloscyllium isabellum,cephaloscyllium isabellum,Fis-23081,41752
cephaloscyllium laticeps,cephaloscyllium laticeps,Fis-23082,41753
cephaloscyllium ventriosum,cephaloscyllium ventriosum,Fis-23085,60227
cephalurus cephalus,cephalurus cephalus,Fis-23086,161455
galeus arae,galeus arae,Fis-23130,161479
figaro boardmani,figaro boardmani,Fis-6652,41811
galeus eastmani,galeus eastmani,Fis-23132,161364
galeus melastomus,galeus melastomus,Fis-29397,161398
galeus murinus,galeus murinus,Fis-23133,161705
galeus polli,galeus polli,Fis-29400,44649
halaelurus boesemani,halaelurus boesemani,Fis-29406,161488
halaelurus buergeri,halaelurus buergeri,Fis-23141,161680
bythaelurus canescens,bythaelurus canescens,Fis-159405,61400
bythaelurus dawsoni,bythaelurus dawsoni,Fis-154009,44170
bythaelurus hispidus,bythaelurus hispidus,Fis-154010,44228
bythaelurus lutarius,bythaelurus lutarius,Fis-154012,141744346
halaelurus natalensis,halaelurus natalensis,Fis-23144,44613
haploblepharus edwardsii,haploblepharus edwardsii,Fis-23146,39345
haploblepharus fuscus,haploblepharus fuscus,Fis-29411,39346
holohalaelurus punctatus,holohalaelurus punctatus,Fis-23158,161675
holohalaelurus regani,holohalaelurus regani,Fis-23159,161574
parmaturus xaniurus,parmaturus xaniurus,Fis-23213,60231
poroderma africanum,poroderma africanum,Fis-23220,39348
poroderma pantherinum,poroderma pantherinum,Fis-23221,161515
schroederichthys bivius,schroederichthys bivius,Fis-23246,39347
schroederichthys chilensis,schroederichthys chilensis,Fis-23247,44585
schroederichthys maculatus,schroederichthys maculatus,Fis-29503,161544
notoscopelus elongatus,notoscopelus elongatus,Fis-23196,194844
scyliorhinus boa,scyliorhinus boa,Fis-29516,161336
scyliorhinus canicula,scyliorhinus canicula,Fis-23251,161307554
scyliorhinus capensis,scyliorhinus capensis,Fis-23252,39349
scyliorhinus cervigoni,scyliorhinus cervigoni,Fis-29517,60234
scyliorhinus garmani,scyliorhinus garmani,Fis-23253,161458
oblada melanura,oblada melanura,Fis-23197,170197
scyliorhinus hesperius,scyliorhinus hesperius,Fis-29518,44590
scyliorhinus retifer,scyliorhinus retifer,Fis-23255,60233
scyliorhinus stellaris,scyliorhinus stellaris,Fis-23256,161484
scyliorhinus torrei,scyliorhinus torrei,Fis-29520,161449
carcharhinus acronotus,carcharhinus acronotus,Fis-23043,161378
carcharhinus albimarginatus,carcharhinus albimarginatus,Fis-23044,161526
carcharhinus altimus,carcharhinus altimus,Fis-23045,161564
carcharhinus amblyrhynchoides,carcharhinus amblyrhynchoides,Fis-23046,40797
carcharhinus amblyrhynchos,carcharhinus amblyrhynchos,Fis-23047,39365
carcharhinus amboinensis,carcharhinus amboinensis,Fis-23048,39366
carcharhinus amboinensis,carcharhinus amboinensis,Fis-23048,39543
carcharhinus brachyurus,carcharhinus brachyurus,Fis-23050,41741
carcharhinus brachyurus,carcharhinus brachyurus,Fis-23050,41742
carcharhinus brevipinna,carcharhinus brevipinna,Fis-23051,39368
carcharhinus brevipinna,carcharhinus brevipinna,Fis-23051,39544
carcharhinus cautus,carcharhinus cautus,Fis-23052,41733
carcharhinus dussumieri,carcharhinus dussumieri,Fis-23053,70680197
carcharhinus falciformis,carcharhinus falciformis,Fis-23054,39370
carcharhinus fitzroyensis,carcharhinus fitzroyensis,Fis-23055,41735
carcharhinus galapagensis,carcharhinus galapagensis,Fis-23056,41736
carcharhinus hemiodon,carcharhinus hemiodon,Fis-23057,39369
carcharhinus isodon,carcharhinus isodon,Fis-23058,161524
carcharhinus leucas,carcharhinus leucas,Fis-23059,39372
carcharhinus limbatus,carcharhinus limbatus,Fis-23060,3851
carcharhinus limbatus,carcharhinus limbatus,Fis-23060,39373
carcharhinus longimanus,carcharhinus longimanus,Fis-23061,39374
carcharhinus macloti,carcharhinus macloti,Fis-23062,41737
carcharhinus melanopterus,carcharhinus melanopterus,Fis-23063,39375
carcharhinus obscurus,carcharhinus obscurus,Fis-23064,3852
carcharhinus perezi,carcharhinus perezi,Fis-23065,60217
carcharhinus plumbeus,carcharhinus plumbeus,Fis-23066,3853
carcharhinus plumbeus,carcharhinus plumbeus,Fis-23066,39377
carcharhinus porosus,carcharhinus porosus,Fis-23067,144136822
carcharhinus sealei,carcharhinus sealei,Fis-23068,41738
carcharhinus signatus,carcharhinus signatus,Fis-23069,60219
carcharhinus signatus,carcharhinus signatus,Fis-23069,60221
carcharhinus sorrah,carcharhinus sorrah,Fis-23070,161376
galeocerdo cuvier,galeocerdo cuvier,Fis-23129,39378
glyphis gangeticus,glyphis gangeticus,Fis-23138,169473392
pagellus acarne,pagellus acarne,Fis-23206,170229
pagellus bogaraveo,pagellus bogaraveo,Fis-23207,170244
isogomphodon oxyrhynchus,isogomphodon oxyrhynchus,Fis-23162,60218
lamiopsis temminckii,lamiopsis temminckii,Fis-148497,169760690
pagellus erythrinus,pagellus erythrinus,Fis-23208,170224
loxodon macrorhinus,loxodon macrorhinus,Fis-29436,41831
nasolamia velox,nasolamia velox,Fis-23191,161355
negaprion acutidens,negaprion acutidens,Fis-23193,41836
negaprion acutidens,negaprion acutidens,Fis-23193,42834
negaprion brevirostris,negaprion brevirostris,Fis-23194,39380
prionace glauca,prionace glauca,Fis-23222,39381
