spec_code,species,db,length_max,in_spp_table,table
4444,upeneus moluccensis,fb,19,TRUE,poplw
67528,upeneus nigromarginatus,fb,27,TRUE,poplw
1095,upeneus parvus,fb,17.7,TRUE,poplw
1095,upeneus parvus,fb,16.6,TRUE,poplw
1095,upeneus parvus,fb,17,TRUE,poplw
1095,upeneus parvus,fb,23.2,TRUE,poplw
46375,upeneus pori,fb,17,TRUE,poplw
46375,upeneus pori,fb,17.5,TRUE,poplw
46375,upeneus pori,fb,17.6,TRUE,poplw
46375,upeneus pori,fb,14.7,TRUE,poplw
46375,upeneus pori,fb,15.5,TRUE,poplw
10471,upeneus quadrilineatus,fb,13.5,TRUE,poplw
4445,upeneus sulphureus,fb,12.5,TRUE,poplw
4445,upeneus sulphureus,fb,22.5,TRUE,poplw
4445,upeneus sulphureus,fb,17,TRUE,poplw
4445,upeneus sulphureus,fb,24.5,TRUE,poplw
5995,upeneus taeniopterus,fb,26,TRUE,poplw
5443,upeneus tragula,fb,19.5,TRUE,poplw
5443,upeneus tragula,fb,26.3,TRUE,poplw
5443,upeneus tragula,fb,30,TRUE,poplw
5443,upeneus tragula,fb,23.56,TRUE,poplw
5443,upeneus tragula,fb,21.7,TRUE,poplw
