iucn_sid,T_min_a,T_min_p,T_max_p,T_max_a,n_cells,warning
202001,26.8195953369141,27.27766456604006,28.34093475341796,32.540934753417964,97,no worries
202053,2.86216688156128,4.124972605705264,25.1175594329834,29.317559432983398,70,no worries
202406,22.9714393615723,23.19698867797848,27.666521453857442,31.86652145385744,25,no worries
14134315,0.460382997989655,0.8156769275665285,15.434676361083959,17.2316284179688,228,no worries
14134429,14.5869131088257,17.4193962097168,25.14192123413084,29.34192123413084,103,no worries
14134431,17.7254295349121,21.7132358551025,28.854419708252,33.054419708252,161,no worries
15307967,24.3822498321533,24.3822498321533,24.3822498321533,24.3822498321533,1,preference temp range too small!
15307969,18.3415031433105,18.5450057983398,20.9893321990967,21.1561126708984,11,no worries
15307971,24.358060836792,24.358060836792,24.358060836792,24.358060836792,1,preference temp range too small!
15307973,26.9581432342529,27.400172042846677,28.06589431762696,32.26589431762696,37,preference temp range too small!
15307975,25.4583282470703,25.4583282470703,25.4583282470703,29.658328247070298,1,preference temp range too small!
15307977,24.1432361602783,24.17831382751462,24.730675125122062,24.7673511505127,5,preference temp range too small!
15307979,24.9300136566162,24.9300136566162,24.9300136566162,24.9300136566162,1,preference temp range too small!
15307981,24.1917667388916,24.1917667388916,24.1917667388916,24.1917667388916,1,preference temp range too small!
15522003,23.459997177124,24.65160293579106,27.961586761474642,32.161586761474645,435,no worries
15522042,23.2991333007813,25.163246917724578,27.953953170776337,32.15395317077634,255,no worries
16208224,16.8056259155273,18.7591762542725,22.2693367004395,23.3605537414551,1121,no worries
16285718,23.6106433868408,24.54335193634029,25.651289749145498,29.851289749145497,232,no worries
16369383,16.4233493804932,18.48642997741702,22.28579330444338,23.3605537414551,685,no worries
16370739,17.0564594268799,18.94298210144046,22.26898956298832,23.111536026001,1002,no worries
16378423,16.4233493804932,18.921205329895,22.26193008422852,23.111536026001,1010,no worries
